Date,DateKey,CalendarYear,CalendarMonth,CalendarQuarter,Day,DayOfWeekNum,WeekNum,DayOfWeekName,MonthName,WeekDay,FinancialMonthFYEF,FinancialMonthFYEM,FinancialQuarterFYEF,FinancialQuarterFYEM,FinancialYearEndingFeb,FinancialYearEndingMar
2019/02/10,20190210,2019,2,1,10,1,7,Sunday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/11,20190211,2019,2,1,11,2,7,Monday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/12,20190212,2019,2,1,12,3,7,Tuesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/13,20190213,2019,2,1,13,4,7,Wednesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/14,20190214,2019,2,1,14,5,7,Thursday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/15,20190215,2019,2,1,15,6,7,Friday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/16,20190216,2019,2,1,16,7,7,Saturday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/17,20190217,2019,2,1,17,1,8,Sunday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/18,20190218,2019,2,1,18,2,8,Monday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/19,20190219,2019,2,1,19,3,8,Tuesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/20,20190220,2019,2,1,20,4,8,Wednesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/21,20190221,2019,2,1,21,5,8,Thursday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/22,20190222,2019,2,1,22,6,8,Friday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/23,20190223,2019,2,1,23,7,8,Saturday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/24,20190224,2019,2,1,24,1,9,Sunday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/25,20190225,2019,2,1,25,2,9,Monday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/26,20190226,2019,2,1,26,3,9,Tuesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/27,20190227,2019,2,1,27,4,9,Wednesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/28,20190228,2019,2,1,28,5,9,Thursday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/03/01,20190301,2019,3,1,1,6,9,Friday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/02,20190302,2019,3,1,2,7,9,Saturday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/03,20190303,2019,3,1,3,1,10,Sunday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/04,20190304,2019,3,1,4,2,10,Monday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/05,20190305,2019,3,1,5,3,10,Tuesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/06,20190306,2019,3,1,6,4,10,Wednesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/07,20190307,2019,3,1,7,5,10,Thursday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/08,20190308,2019,3,1,8,6,10,Friday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/09,20190309,2019,3,1,9,7,10,Saturday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/10,20190310,2019,3,1,10,1,11,Sunday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/11,20190311,2019,3,1,11,2,11,Monday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/12,20190312,2019,3,1,12,3,11,Tuesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/13,20190313,2019,3,1,13,4,11,Wednesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/14,20190314,2019,3,1,14,5,11,Thursday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/15,20190315,2019,3,1,15,6,11,Friday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/16,20190316,2019,3,1,16,7,11,Saturday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/17,20190317,2019,3,1,17,1,12,Sunday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/18,20190318,2019,3,1,18,2,12,Monday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/19,20190319,2019,3,1,19,3,12,Tuesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/20,20190320,2019,3,1,20,4,12,Wednesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/21,20190321,2019,3,1,21,5,12,Thursday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/22,20190322,2019,3,1,22,6,12,Friday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/23,20190323,2019,3,1,23,7,12,Saturday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/24,20190324,2019,3,1,24,1,13,Sunday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/25,20190325,2019,3,1,25,2,13,Monday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/26,20190326,2019,3,1,26,3,13,Tuesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/27,20190327,2019,3,1,27,4,13,Wednesday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/28,20190328,2019,3,1,28,5,13,Thursday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/29,20190329,2019,3,1,29,6,13,Friday,March,1,1,12,FQ 1,FQ 1,2020,2019
2019/03/30,20190330,2019,3,1,30,7,13,Saturday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/03/31,20190331,2019,3,1,31,1,14,Sunday,March,0,1,12,FQ 1,FQ 1,2020,2019
2019/04/01,20190401,2019,4,2,1,2,14,Monday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/02,20190402,2019,4,2,2,3,14,Tuesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/03,20190403,2019,4,2,3,4,14,Wednesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/04,20190404,2019,4,2,4,5,14,Thursday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/05,20190405,2019,4,2,5,6,14,Friday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/06,20190406,2019,4,2,6,7,14,Saturday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/07,20190407,2019,4,2,7,1,15,Sunday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/08,20190408,2019,4,2,8,2,15,Monday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/09,20190409,2019,4,2,9,3,15,Tuesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/10,20190410,2019,4,2,10,4,15,Wednesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/11,20190411,2019,4,2,11,5,15,Thursday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/12,20190412,2019,4,2,12,6,15,Friday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/13,20190413,2019,4,2,13,7,15,Saturday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/14,20190414,2019,4,2,14,1,16,Sunday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/15,20190415,2019,4,2,15,2,16,Monday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/16,20190416,2019,4,2,16,3,16,Tuesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/17,20190417,2019,4,2,17,4,16,Wednesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/18,20190418,2019,4,2,18,5,16,Thursday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/19,20190419,2019,4,2,19,6,16,Friday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/20,20190420,2019,4,2,20,7,16,Saturday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/21,20190421,2019,4,2,21,1,17,Sunday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/22,20190422,2019,4,2,22,2,17,Monday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/23,20190423,2019,4,2,23,3,17,Tuesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/24,20190424,2019,4,2,24,4,17,Wednesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/25,20190425,2019,4,2,25,5,17,Thursday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/26,20190426,2019,4,2,26,6,17,Friday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/27,20190427,2019,4,2,27,7,17,Saturday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/28,20190428,2019,4,2,28,1,18,Sunday,April,0,2,1,FQ 1,FQ 1,2020,2020
2019/04/29,20190429,2019,4,2,29,2,18,Monday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/04/30,20190430,2019,4,2,30,3,18,Tuesday,April,1,2,1,FQ 1,FQ 1,2020,2020
2019/05/01,20190501,2019,5,2,1,4,18,Wednesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/02,20190502,2019,5,2,2,5,18,Thursday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/03,20190503,2019,5,2,3,6,18,Friday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/04,20190504,2019,5,2,4,7,18,Saturday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/05,20190505,2019,5,2,5,1,19,Sunday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/06,20190506,2019,5,2,6,2,19,Monday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/07,20190507,2019,5,2,7,3,19,Tuesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/08,20190508,2019,5,2,8,4,19,Wednesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/09,20190509,2019,5,2,9,5,19,Thursday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/10,20190510,2019,5,2,10,6,19,Friday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/11,20190511,2019,5,2,11,7,19,Saturday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/12,20190512,2019,5,2,12,1,20,Sunday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/13,20190513,2019,5,2,13,2,20,Monday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/14,20190514,2019,5,2,14,3,20,Tuesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/15,20190515,2019,5,2,15,4,20,Wednesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/16,20190516,2019,5,2,16,5,20,Thursday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/17,20190517,2019,5,2,17,6,20,Friday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/18,20190518,2019,5,2,18,7,20,Saturday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/19,20190519,2019,5,2,19,1,21,Sunday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/20,20190520,2019,5,2,20,2,21,Monday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/21,20190521,2019,5,2,21,3,21,Tuesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/22,20190522,2019,5,2,22,4,21,Wednesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/23,20190523,2019,5,2,23,5,21,Thursday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/24,20190524,2019,5,2,24,6,21,Friday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/25,20190525,2019,5,2,25,7,21,Saturday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/26,20190526,2019,5,2,26,1,22,Sunday,May,0,3,2,FQ 1,FQ 1,2020,2020
2019/05/27,20190527,2019,5,2,27,2,22,Monday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/28,20190528,2019,5,2,28,3,22,Tuesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/29,20190529,2019,5,2,29,4,22,Wednesday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/30,20190530,2019,5,2,30,5,22,Thursday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/05/31,20190531,2019,5,2,31,6,22,Friday,May,1,3,2,FQ 1,FQ 1,2020,2020
2019/06/01,20190601,2019,6,2,1,7,22,Saturday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/02,20190602,2019,6,2,2,1,23,Sunday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/03,20190603,2019,6,2,3,2,23,Monday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/04,20190604,2019,6,2,4,3,23,Tuesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/05,20190605,2019,6,2,5,4,23,Wednesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/06,20190606,2019,6,2,6,5,23,Thursday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/07,20190607,2019,6,2,7,6,23,Friday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/08,20190608,2019,6,2,8,7,23,Saturday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/09,20190609,2019,6,2,9,1,24,Sunday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/10,20190610,2019,6,2,10,2,24,Monday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/11,20190611,2019,6,2,11,3,24,Tuesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/12,20190612,2019,6,2,12,4,24,Wednesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/13,20190613,2019,6,2,13,5,24,Thursday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/14,20190614,2019,6,2,14,6,24,Friday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/15,20190615,2019,6,2,15,7,24,Saturday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/16,20190616,2019,6,2,16,1,25,Sunday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/17,20190617,2019,6,2,17,2,25,Monday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/18,20190618,2019,6,2,18,3,25,Tuesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/19,20190619,2019,6,2,19,4,25,Wednesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/20,20190620,2019,6,2,20,5,25,Thursday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/21,20190621,2019,6,2,21,6,25,Friday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/22,20190622,2019,6,2,22,7,25,Saturday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/23,20190623,2019,6,2,23,1,26,Sunday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/24,20190624,2019,6,2,24,2,26,Monday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/25,20190625,2019,6,2,25,3,26,Tuesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/26,20190626,2019,6,2,26,4,26,Wednesday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/27,20190627,2019,6,2,27,5,26,Thursday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/28,20190628,2019,6,2,28,6,26,Friday,June,1,4,3,FQ 2,FQ 2,2020,2020
2019/06/29,20190629,2019,6,2,29,7,26,Saturday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/06/30,20190630,2019,6,2,30,1,27,Sunday,June,0,4,3,FQ 2,FQ 2,2020,2020
2019/07/01,20190701,2019,7,3,1,2,27,Monday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/02,20190702,2019,7,3,2,3,27,Tuesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/03,20190703,2019,7,3,3,4,27,Wednesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/04,20190704,2019,7,3,4,5,27,Thursday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/05,20190705,2019,7,3,5,6,27,Friday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/06,20190706,2019,7,3,6,7,27,Saturday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/07,20190707,2019,7,3,7,1,28,Sunday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/08,20190708,2019,7,3,8,2,28,Monday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/09,20190709,2019,7,3,9,3,28,Tuesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/10,20190710,2019,7,3,10,4,28,Wednesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/11,20190711,2019,7,3,11,5,28,Thursday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/12,20190712,2019,7,3,12,6,28,Friday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/13,20190713,2019,7,3,13,7,28,Saturday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/14,20190714,2019,7,3,14,1,29,Sunday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/15,20190715,2019,7,3,15,2,29,Monday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/16,20190716,2019,7,3,16,3,29,Tuesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/17,20190717,2019,7,3,17,4,29,Wednesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/18,20190718,2019,7,3,18,5,29,Thursday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/19,20190719,2019,7,3,19,6,29,Friday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/20,20190720,2019,7,3,20,7,29,Saturday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/21,20190721,2019,7,3,21,1,30,Sunday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/22,20190722,2019,7,3,22,2,30,Monday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/23,20190723,2019,7,3,23,3,30,Tuesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/24,20190724,2019,7,3,24,4,30,Wednesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/25,20190725,2019,7,3,25,5,30,Thursday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/26,20190726,2019,7,3,26,6,30,Friday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/27,20190727,2019,7,3,27,7,30,Saturday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/28,20190728,2019,7,3,28,1,31,Sunday,July,0,5,4,FQ 2,FQ 2,2020,2020
2019/07/29,20190729,2019,7,3,29,2,31,Monday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/30,20190730,2019,7,3,30,3,31,Tuesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/07/31,20190731,2019,7,3,31,4,31,Wednesday,July,1,5,4,FQ 2,FQ 2,2020,2020
2019/08/01,20190801,2019,8,3,1,5,31,Thursday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/02,20190802,2019,8,3,2,6,31,Friday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/03,20190803,2019,8,3,3,7,31,Saturday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/04,20190804,2019,8,3,4,1,32,Sunday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/05,20190805,2019,8,3,5,2,32,Monday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/06,20190806,2019,8,3,6,3,32,Tuesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/07,20190807,2019,8,3,7,4,32,Wednesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/08,20190808,2019,8,3,8,5,32,Thursday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/09,20190809,2019,8,3,9,6,32,Friday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/10,20190810,2019,8,3,10,7,32,Saturday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/11,20190811,2019,8,3,11,1,33,Sunday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/12,20190812,2019,8,3,12,2,33,Monday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/13,20190813,2019,8,3,13,3,33,Tuesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/14,20190814,2019,8,3,14,4,33,Wednesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/15,20190815,2019,8,3,15,5,33,Thursday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/16,20190816,2019,8,3,16,6,33,Friday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/17,20190817,2019,8,3,17,7,33,Saturday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/18,20190818,2019,8,3,18,1,34,Sunday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/19,20190819,2019,8,3,19,2,34,Monday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/20,20190820,2019,8,3,20,3,34,Tuesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/21,20190821,2019,8,3,21,4,34,Wednesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/22,20190822,2019,8,3,22,5,34,Thursday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/23,20190823,2019,8,3,23,6,34,Friday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/24,20190824,2019,8,3,24,7,34,Saturday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/25,20190825,2019,8,3,25,1,35,Sunday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/08/26,20190826,2019,8,3,26,2,35,Monday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/27,20190827,2019,8,3,27,3,35,Tuesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/28,20190828,2019,8,3,28,4,35,Wednesday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/29,20190829,2019,8,3,29,5,35,Thursday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/30,20190830,2019,8,3,30,6,35,Friday,August,1,6,5,FQ 2,FQ 2,2020,2020
2019/08/31,20190831,2019,8,3,31,7,35,Saturday,August,0,6,5,FQ 2,FQ 2,2020,2020
2019/09/01,20190901,2019,9,3,1,1,36,Sunday,September,0,7,6,FQ 3,FQ 3,2020,2020
2019/09/02,20190902,2019,9,3,2,2,36,Monday,September,1,7,6,FQ 3,FQ 3,2020,2020
2019/09/03,20190903,2019,9,3,3,3,36,Tuesday,September,1,7,6,FQ 3,FQ 3,2020,2020
2019/09/04,20190904,2019,9,3,4,4,36,Wednesday,September,1,7,6,FQ 3,FQ 3,2020,2020
2019/09/05,20190905,2019,9,3,5,5,36,Thursday,September,1,7,6,FQ 3,FQ 3,2020,2020
2019/09/06,20190906,2019,9,3,6,6,36,Friday,September,1,7,6,FQ 3,FQ 3,2020,2020
